GENE	GENE_SYMBOL	ASD_2019	ADHD_2019	SCZ_2020	BD_2019	OCD_2018	AN_2019	TS_2019	MDD_2018	NEUROT_2018	IQ_2018	AD_2019	PD_2014
81669	CCNL2	0.64647	0.17857	0.10849	0.51501	0.095278	0.20624	0.32089	0.38535	0.8986	0.70749	0.25481	0.38515
55052	MRPL20	0.72179	0.18925	0.23452	0.53472	0.22536	0.23621	0.42578	0.17273	0.89983	0.64174	0.84054	0.14857
441869	ANKRD65	0.49201	0.31312	0.55122	0.74481	0.15146	0.42608	0.31591	0.53521	0.89017	0.27654	0.49387	0.52734
643965	TMEM88B	0.79829	0.6099	0.77427	0.78638	0.59908	NA	0.57276	0.82861	0.64345	0.29687	0.40004	0.9933
64856	VWA1	0.87299	0.91106	0.076818	0.55365	0.89239	0.45251	0.77797	0.4591	0.70014	0.81837	0.8417	NA
219293	ATAD3C	0.38511	0.73315	0.0074067	0.92186	0.35378	0.40876	0.48694	0.24949	0.64173	0.60246	0.43873	NA
83858	ATAD3B	0.11635	0.53297	0.0044325	0.95302	0.17142	0.67845	0.25031	0.49502	0.83787	0.9509	0.35999	0.2488
55210	ATAD3A	0.61602	0.52942	0.004002	0.47217	0.15907	0.36154	0.46094	0.79811	0.76644	0.094846	0.388	0.48371
339453	TMEM240	0.6477	0.47522	0.010476	0.25209	0.61141	0.67974	0.44742	0.97714	0.56807	0.69132	0.71387	0.72813
29101	SSU72	0.6593	0.59265	0.011037	0.31324	0.92423	0.75857	0.31571	0.98227	0.70926	0.70237	0.87093	0.78213
643988	C1orf233	NA	NA	0.64567	0.22133	0.06923	NA	NA	0.070828	0.64044	0.91214	0.49815	NA
142678	MIB2	0.7075	NA	0.039784	0.26061	0.16913	NA	0.5677	0.56605	0.59865	0.49463	0.24746	NA
8510	MMP23B	NA	NA	0.0132	0.16812	0.36186	NA	NA	0.063535	0.92979	0.6528	0.75842	NA
984	CDK11B	NA	NA	0.077286	0.25478	0.3198	NA	NA	0.70453	0.57384	0.0013919	0.31122	NA
728661	SLC35E2B	0.56239	0.11881	0.073241	0.41453	0.8719	NA	0.77076	0.217	0.88644	0.019714	0.25406	NA
728642	CDK11A	0.8453	0.29412	0.028002	0.88934	0.38741	NA	0.64089	0.83811	0.68303	NA	0.72101	NA
9906	SLC35E2	0.94619	0.45066	0.3102	0.3753	0.54685	0.0002406	0.56953	0.65969	0.5877	0.94541	0.71648	NA
65220	NADK	0.9782	0.75254	0.080863	0.41251	0.89405	0.0001029	0.47905	0.51618	0.49997	0.090115	0.88888	0.32268
2782	GNB1	0.95506	0.71202	0.011456	0.34876	0.70762	1.5078e-05	0.36605	0.61619	0.64868	0.062535	0.93808	0.48858
163688	CALML6	0.44451	0.28208	0.043779	0.29345	0.78397	6.6124e-06	0.52216	0.74472	0.17442	0.16235	0.88546	0.18338
339456	TMEM52	0.24505	0.5228	0.037221	0.51943	0.64451	8.6506e-06	0.53772	0.59373	0.33652	0.33065	0.98421	0.29562
85452	CFAP74	0.10776	0.087986	0.0010599	0.43651	0.44222	0.0034537	0.60516	0.091732	0.73628	0.50663	0.78547	0.54512
2563	GABRD	0.085888	0.39606	0.1417	0.99292	0.35043	0.62682	0.90194	0.10608	0.43355	0.092419	0.12339	0.89864
5590	PRKCZ	0.7524	0.90651	0.0011201	0.38741	0.45398	0.60028	0.85338	0.66042	0.23226	0.50656	0.74464	0.70503
100506504	LOC100506504	0.15293	0.88617	0.00033957	0.24578	0.88346	0.8352	0.73937	0.56084	0.11764	0.93705	0.62884	0.63461
199990	C1orf86	0.31853	0.77345	0.0014174	0.18372	0.66442	0.68107	0.4957	0.92559	0.10649	0.84053	0.69323	0.406
6497	SKI	0.15004	0.23518	0.02951	0.37949	0.15768	0.34428	0.5463	0.96419	0.36085	0.25099	0.45953	0.088342
79906	MORN1	0.4798	0.013123	0.26277	0.21121	0.25216	0.10122	0.99188	0.36867	0.85614	0.24865	0.89487	0.71926
11079	RER1	0.67894	0.50603	0.098482	0.080595	0.84439	0.12008	0.52821	0.091848	0.086063	0.3272	0.76542	0.1168
5192	PEX10	0.60729	0.4888	0.25147	0.19783	0.84478	0.13985	0.29046	0.18874	0.065958	0.32507	0.70383	0.20688
9651	PLCH2	0.13229	0.13549	0.02228	0.61922	0.28653	0.055321	0.39976	0.20083	0.0014274	0.3948	0.32423	0.9837
55229	PANK4	0.41865	0.016925	0.031481	0.19555	0.30689	0.048138	0.68453	0.21302	0.12623	0.32821	0.65022	0.98841
388585	HES5	0.029433	0.27537	0.60683	0.45706	0.12042	0.21691	0.70416	0.074827	0.09458	0.14411	0.96028	0.96788
8764	TNFRSF14	0.010123	0.084394	0.17452	0.0075062	0.63318	0.51763	0.94006	0.0088354	0.11409	0.43829	0.28622	0.73492
127281	FAM213B	0.049695	0.029915	0.012697	0.00046817	0.084367	0.42691	0.37771	0.10153	0.21835	0.69609	0.65359	0.93286
79258	MMEL1	0.047699	0.012035	0.0077724	0.0012171	0.099256	0.63098	0.37565	0.23241	0.68198	0.74536	0.4768	0.99336
100287898	TTC34	0.0094096	0.036649	0.051764	0.014077	0.58642	0.1468	0.51405	0.1586	0.22	0.39375	0.96338	0.87767
140625	ACTRT2	0.35491	0.66392	0.45492	0.81752	0.5889	0.37844	0.17137	0.11943	0.038145	0.87782	0.42809	0.90707
63976	PRDM16	0.27626	0.026694	0.00015449	0.058725	0.80295	0.15903	0.22697	0.914	0.57283	0.031576	0.29144	0.7538
27237	ARHGEF16	0.15919	0.25678	0.66949	0.48408	0.61133	0.81255	0.0064076	0.79841	0.048274	0.076373	0.54123	0.0058699
1953	MEGF6	0.95494	0.89156	0.64841	0.77579	0.72038	0.571	0.12957	0.23434	0.12474	0.51621	0.94451	0.52767
127262	TPRG1L	0.91939	0.5813	0.17895	0.48583	0.75935	0.93744	0.18525	0.091398	0.35119	0.82475	0.84903	0.0022034
49856	WRAP73	0.44852	0.81764	0.079241	0.5479	0.15916	0.78754	0.79456	0.3721	0.0935	0.72873	0.74949	0.0066258
7161	TP73	0.85299	0.57408	0.79381	0.056482	0.2757	0.72736	0.61672	0.94561	0.34442	0.46991	0.76963	0.95389
148870	CCDC27	0.89973	0.78358	0.62006	0.11388	0.99064	0.35068	0.76958	0.91383	0.216	0.12032	0.53659	0.98339
388588	SMIM1	0.66265	0.838	0.20161	0.20431	0.42704	0.5812	0.95643	0.099758	0.88837	0.13519	0.21564	0.94172
57470	LRRC47	0.77989	0.78168	0.17222	0.032115	0.50282	0.049892	0.99323	0.23993	0.65776	0.017793	0.23245	0.85756
9731	CEP104	0.95124	0.2399	0.080794	0.17512	0.52995	0.12104	0.97812	0.41108	0.5309	0.037683	0.66285	0.65389
1677	DFFB	0.87357	0.71081	0.4457	0.43647	0.5131	0.62978	0.71364	0.48068	0.83188	0.051305	0.50949	0.64433
339448	C1orf174	0.71169	0.5463	0.010067	0.98057	0.90044	0.86275	0.52645	0.49167	0.72175	0.7913	0.93627	0.54887
55966	AJAP1	0.707	0.80129	0.1707	0.30171	0.98718	0.87465	0.070644	0.025824	0.2396	0.0035753	0.96516	0.91083
261734	NPHP4	0.25829	0.1824	0.17469	0.86908	0.68321	0.19667	0.23542	0.025194	0.24647	0.050474	0.41823	0.032146
8514	KCNAB2	0.20954	0.12616	0.11511	0.59399	0.90331	0.63191	0.27094	0.11541	0.045357	0.16451	0.49231	0.31746
26038	CHD5	0.68142	0.23423	0.43445	0.34898	0.81886	0.54957	0.10094	0.10345	0.67002	0.0051193	0.11641	0.29782
6146	RPL22	0.039965	0.49036	0.30519	0.28126	0.71934	0.047461	0.5202	0.011641	0.80946	0.0063953	0.11645	0.46031
388591	RNF207	0.40365	0.70614	0.37169	0.77454	0.25942	0.44969	0.44908	0.32966	0.76744	0.54507	0.37599	0.59651
23463	ICMT	0.69826	0.60166	0.48005	0.56802	0.34191	0.80508	0.9069	0.42006	0.93966	0.45421	0.10703	0.63406
390992	HES3	0.15904	0.347	0.89699	0.26721	0.79386	0.4125	0.76714	0.91806	0.88068	0.54818	0.39854	0.79275
387509	GPR153	0.17637	0.71291	0.75385	0.20797	0.40707	0.21063	0.37294	0.73188	0.13911	0.46626	0.10262	0.70858
11332	ACOT7	0.71916	0.38645	0.50542	0.030795	0.24239	0.64724	0.84378	0.54793	0.051775	0.28819	0.80329	0.61984
54626	HES2	0.78983	0.5721	0.28353	0.12426	0.4703	0.71864	0.84365	0.19004	0.20033	0.15176	0.54626	0.54919
83715	ESPN	0.96771	0.71191	0.1681	0.24899	0.36876	0.73657	0.98307	0.17579	0.10908	0.10447	0.64973	0.34708
8718	TNFRSF25	0.87827	0.96974	0.0034507	0.022335	0.48591	0.14572	0.5005	0.14562	0.069614	0.46281	0.8091	0.86385
57449	PLEKHG5	0.23551	0.96238	0.0038284	0.0040184	0.37594	0.5384	0.59552	0.39436	0.17263	0.14639	0.47309	0.28694
79707	NOL9	0.19177	0.54601	0.32383	0.64834	0.73329	0.39963	0.71833	0.87834	0.26401	0.048011	0.26018	0.25599
80835	TAS1R1	0.16559	0.63881	0.0259	0.26564	0.55771	0.62129	0.17503	0.91596	0.22146	0.083388	0.31669	0.46279
3104	ZBTB48	0.18046	0.7023	1.1285e-05	0.044478	0.33252	0.97736	0.027402	0.19293	0.061105	0.084267	0.17286	0.19357
9903	KLHL21	0.20856	0.73821	2.338e-06	0.1862	0.63303	0.74793	0.28847	0.0012558	0.46696	0.064423	0.1467	0.082035
148479	PHF13	0.28231	0.54882	2.3864e-05	0.46729	0.89509	0.84742	0.41085	0.0018082	0.73309	0.063102	0.22389	0.063242
90326	THAP3	0.39215	0.5297	1.5585e-06	0.085201	0.26512	0.72533	0.34603	0.0029486	0.50288	0.031056	0.019647	0.018579
55735	DNAJC11	0.33122	0.21353	3.3709e-07	0.038239	0.34556	0.68045	0.22683	0.00075074	0.32336	0.012774	0.075888	0.031697
23261	CAMTA1	0.36045	0.38942	0.038903	0.17004	0.203	0.13313	0.16279	0.045526	5.003e-06	6.2021e-07	0.21527	0.2672
9341	VAMP3	0.17805	0.053673	0.074247	0.74497	0.31046	0.49573	0.61808	0.017277	0.19758	0.19842	0.15582	0.15842
8863	PER3	0.53033	0.22442	0.14833	0.96645	0.14648	0.58662	0.22893	0.019241	0.021137	0.19625	0.35924	0.57674
10911	UTS2	0.80932	0.017245	0.42144	0.91921	0.26607	0.60014	0.27665	0.002789	0.029148	0.27083	0.85171	0.27993
3604	TNFRSF9	0.89743	0.96488	0.37851	0.88729	0.0076565	0.75003	0.94905	0.52866	0.36124	0.083623	0.99084	0.82667
11315	PARK7	0.2704	0.49654	0.56336	0.92741	0.079273	0.90127	0.85006	0.18762	0.39887	0.49627	0.19646	0.79813
54206	ERRFI1	0.57524	0.57027	0.60165	0.93242	0.21924	0.95626	0.64467	0.1286	0.37002	0.3199	0.34258	0.75271
50651	SLC45A1	0.92879	0.32956	8.0056e-09	0.12261	0.39953	0.52503	0.24783	0.82116	0.010342	0.029652	0.19476	0.82776
473	RERE	0.014965	0.23192	8.1133e-08	0.6726	0.060193	0.0060007	0.0044886	0.0013812	3.3476e-05	0.0080466	0.15446	0.64695
2023	ENO1	0.081112	0.89964	0.036547	0.49705	0.15885	0.32281	0.94113	0.68048	0.82136	0.21834	0.74264	0.24411
765	CA6	0.55766	0.43168	0.71261	0.67746	0.24012	0.13474	0.86229	0.31549	0.8317	0.18927	0.29805	0.84941
155184	SLC2A7	0.090485	0.057718	0.34725	0.23807	0.73943	0.22843	0.56972	0.58623	0.09829	0.33994	0.74685	0.22747
6518	SLC2A5	0.17878	0.11264	0.81453	0.61221	0.44412	0.20899	0.4341	0.46706	0.63648	0.56799	0.054852	0.11123
80045	GPR157	0.62857	0.64391	0.082406	0.56195	0.65813	0.69006	0.22743	0.33209	0.99304	0.50815	0.15916	0.87658
9563	H6PD	0.66928	0.89709	0.53445	0.79489	0.38352	0.10443	0.58159	0.9228	0.28481	0.24247	0.30298	0.25166
80176	SPSB1	0.33059	0.18078	0.21988	0.95873	0.84224	0.72144	0.82492	0.17516	0.88035	0.17194	0.89987	0.36861
84275	SLC25A33	0.77823	0.95584	0.54687	0.53638	0.49512	0.85969	0.59167	0.15733	0.20981	0.1668	0.059049	0.014447
199953	TMEM201	0.81965	0.55259	0.7269	0.80327	0.17775	0.91223	0.83009	0.25469	0.20597	0.1621	0.019241	0.021327
5293	PIK3CD	0.56874	0.36525	0.23814	0.35416	0.19878	0.34089	0.2791	0.18372	0.21777	0.25199	0.22495	0.18361
22883	CLSTN1	0.50917	0.35576	0.21548	0.43148	0.33688	0.644	0.065583	0.64089	0.31226	0.67768	0.21209	0.8779
56998	CTNNBIP1	0.49082	0.23418	0.92359	0.092318	0.70905	0.97063	0.36164	0.025969	0.82694	0.61067	0.17427	0.6659
84328	LZIC	0.74568	0.068954	0.83113	0.038888	0.70564	0.72332	0.059095	0.30197	0.95064	0.89162	0.72496	0.0006232
64802	NMNAT1	0.70817	0.44539	0.58942	0.081463	0.29837	0.69285	0.073042	0.56374	0.641	0.76424	0.95089	0.0088069
116362	RBP7	0.48622	0.74706	0.2602	0.26165	0.20503	0.39417	0.048414	0.45678	0.17625	0.58325	0.9375	0.015237
10277	UBE4B	0.37069	0.79346	0.36731	0.75343	0.25339	0.22873	0.091734	0.68731	0.25139	0.26884	0.76457	0.0044767
23095	KIF1B	0.46953	0.37018	0.031275	0.31314	0.0067847	0.20637	0.28006	0.60759	0.14909	0.50969	0.28828	0.45477
5226	PGD	0.21824	0.26961	0.029142	0.20572	0.00067309	0.092183	0.57176	0.27164	0.14194	0.75533	0.19096	0.43472
378708	APITD1	0.82452	0.047668	0.5702	0.55099	0.013239	0.44819	0.15669	0.77012	0.77795	0.30358	0.62442	0.61289
100526739	APITD1-CORT	0.80082	0.043978	0.53249	0.52999	0.015518	0.43387	0.13663	0.78197	0.76269	0.30927	0.66113	0.62233
1325	CORT	0.55556	0.023194	0.42878	0.33849	0.11583	0.25783	0.18624	0.87373	0.56325	0.60049	0.92332	0.64691
1676	DFFA	0.8976	0.10165	0.1661	0.035114	0.0027839	0.62769	0.045362	0.11973	0.51524	0.018753	0.45443	0.94534
5195	PEX14	0.91494	0.030501	0.6359	0.38973	0.10614	0.84467	0.25845	0.43071	0.51557	0.18838	0.71979	0.88477
54897	CASZ1	0.75482	0.53145	0.44766	0.67929	0.36621	0.59726	0.54263	0.12846	0.050083	0.48074	0.6726	0.045426
148345	C1orf127	0.81961	0.45842	0.77027	0.83809	0.0047775	0.019997	0.95258	0.74157	0.4428	0.54737	0.5875	0.7382
23435	TARDBP	0.0652	0.27821	0.0052552	0.52728	0.010881	0.2339	0.039544	0.37655	0.067558	0.072255	0.58532	0.062248
10747	MASP2	0.027483	0.18482	0.044311	0.15672	0.05671	0.37015	0.045049	0.3625	0.28119	0.31748	0.54317	0.021405
6723	SRM	0.008777	0.05221	0.26187	0.04343	0.17329	0.83075	0.38776	0.22505	0.84212	0.37901	0.84692	0.0059263
5394	EXOSC10	0.0080889	0.067498	0.62846	0.12755	0.31186	0.66519	0.45722	0.32821	0.61219	0.3724	0.56489	0.0016282
2475	MTOR	0.014602	0.48956	0.39614	0.10875	0.40162	0.69473	0.55896	0.57955	0.39731	0.26487	0.73154	0.0021621
10218	ANGPTL7	0.07944	0.40203	0.24691	0.047219	0.30316	0.87683	0.59895	0.51157	0.49823	0.38309	0.71459	0.010371
29914	UBIAD1	0.20949	0.47156	0.57242	0.014855	0.34762	0.60959	0.48396	0.22611	0.65056	0.12495	0.27921	0.065942
57540	PTCHD2	0.29842	0.61461	0.0099019	0.14675	0.049675	0.90071	0.050109	0.77815	0.33834	0.033881	0.30326	0.083961
26232	FBXO2	0.86136	0.6844	0.24231	0.46824	0.2396	0.17389	0.3416	0.73507	0.46716	0.85738	0.26734	0.099109
93611	FBXO44	0.77541	0.75776	0.19657	0.69661	0.26113	0.47558	0.54281	0.64552	0.26584	0.75408	0.41701	0.0086344
26270	FBXO6	0.54857	0.4833	0.6825	0.43046	0.10341	0.52168	0.75338	0.34605	0.85647	0.78477	0.39896	0.0028138
10459	MAD2L2	0.39545	0.63925	0.59386	0.93339	0.066778	0.41384	0.68851	0.64417	0.64594	0.7099	0.40402	0.028351
374946	DRAXIN	0.32507	0.42462	0.14937	0.777	0.31109	0.068206	0.8179	0.15732	0.091672	0.54423	0.90848	0.63445
57085	AGTRAP	0.05083	0.1832	0.34525	0.73743	0.41916	0.20141	0.88702	0.025604	0.57818	0.48654	0.41153	0.1601
284498	C1orf167	0.11776	0.2144	0.11577	0.00092652	0.79796	0.049601	0.74543	0.12406	0.72119	0.85781	0.046327	0.16029
4524	MTHFR	0.056544	0.17148	0.1872	0.00071407	0.72504	0.070832	0.74901	0.21399	0.89736	0.69464	0.14536	0.50168
1185	CLCN6	0.033736	0.13779	0.15775	0.00074304	0.77957	0.12666	0.71945	0.33592	0.69157	0.68909	0.35704	0.44279
4878	NPPA	0.10575	0.66196	0.33865	0.06425	0.71762	0.4955	0.63621	0.85865	0.59872	0.94346	0.76753	0.40405
4879	NPPB	0.59398	0.98787	0.49394	0.004978	0.98135	0.82124	0.34343	0.96281	0.49812	0.89857	0.2449	0.42706
90231	KIAA2013	0.74063	0.52249	0.31806	0.19505	0.29369	0.73725	0.96816	0.73256	0.98684	0.40437	0.16308	0.49189
5351	PLOD1	0.88762	0.79011	0.28486	0.33304	0.57383	0.47646	0.87282	0.58415	0.13172	0.58012	0.90426	0.29518
9927	MFN2	0.79999	0.913	0.23091	0.050745	0.12411	0.34937	0.90099	0.078219	0.0716	0.44682	0.50285	0.25006
60672	MIIP	0.99875	0.29102	0.69028	0.53964	0.16896	0.53752	0.91801	0.55092	0.75297	0.66596	0.21154	0.17692
943	TNFRSF8	0.59149	0.10327	0.031343	0.85335	0.41992	0.44912	0.41892	0.14441	0.2286	0.45609	0.060797	0.92587
7133	TNFRSF1B	0.87549	0.98822	0.69092	0.7539	0.249	0.38459	0.097193	0.77138	0.5622	0.97543	0.019949	0.79827
55187	VPS13D	0.88719	0.15908	0.32194	0.92544	0.30489	0.77649	0.093571	0.32351	0.64203	0.95319	0.61239	0.56047
9249	DHRS3	0.78177	0.056397	0.30768	0.87648	0.53724	0.28223	0.54039	0.86917	0.71221	0.88793	0.81583	0.94799
343066	AADACL4	0.7633	0.61876	0.068017	0.02469	0.45789	0.82987	0.61899	0.35353	0.72428	0.14127	0.19843	0.72197
126767	AADACL3	0.96498	0.74112	0.029335	0.63544	0.89838	0.14409	0.26787	0.14327	0.038791	0.47759	0.74378	0.12138
93190	C1orf158	0.95782	0.21317	0.031125	0.69173	0.85674	0.53543	0.16713	0.17872	0.085709	0.25668	0.69468	0.19238
390999	PRAMEF12	0.94691	0.36782	0.062247	0.47334	0.20158	0.69709	0.0057555	0.16418	0.19254	0.25662	0.73704	0.78573
65121	PRAMEF1	0.89052	0.060709	0.37518	0.34131	0.18482	0.85039	0.56158	0.026441	0.27312	0.42251	0.068654	0.037832
440560	PRAMEF11	0.95677	0.0055071	0.89249	0.29659	0.24651	NA	0.64468	0.12175	0.62631	NA	0.39545	0.9998
343069	HNRNPCL1	0.49224	0.30179	0.0090633	0.072023	0.4078	0.41922	0.4394	0.16765	0.22114	0.9637	0.95112	0.11075
65122	PRAMEF2	0.076545	0.035696	0.036214	0.34923	0.9835	0.39377	0.0022666	0.08688	0.28041	0.79709	0.68798	0.05352
400735	PRAMEF4	0.039657	0.028753	0.46168	0.96244	NA	NA	NA	0.33304	0.93469	0.154	0.68622	NA
343071	PRAMEF10	0.79929	0.4056	NA	0.65845	NA	NA	NA	0.80116	0.89442	NA	0.12788	NA
440563	HNRNPCL2	0.81144	0.20376	0.055537	0.33661	0.69002	0.51057	0.052595	0.24864	0.91978	0.56251	0.68785	NA
391004	PRAMEF17	NA	NA	NA	0.2472	NA	NA	NA	0.493	NA	NA	0.60352	NA
645425	PRAMEF20	NA	NA	NA	0.89826	NA	NA	NA	0.63821	NA	NA	0.64754	NA
126755	LRRC38	0.90897	0.25085	0.0634	0.87007	0.23706	0.83212	0.89943	0.1138	0.47042	0.76167	0.51498	0.39712
10630	PDPN	0.42393	0.91404	0.03138	0.81341	0.38277	0.0069855	0.61579	0.8435	0.97676	0.66936	0.19168	0.21367
7799	PRDM2	0.30413	0.96184	0.095987	0.42932	0.16071	0.90854	0.65646	0.87566	0.42045	0.096656	0.37308	0.0045193
23254	KAZN	0.18581	0.15644	0.00079352	0.42485	0.61125	0.10297	0.55328	0.4451	0.037126	0.11928	0.18228	0.010444
55092	TMEM51	0.28785	0.38899	0.90445	0.44736	0.24698	0.00044527	0.64208	0.22348	0.054502	0.70597	0.69035	0.82904
727684	C1orf195	0.37761	0.35498	0.72553	0.50269	0.246	0.0012507	0.36588	0.13714	0.27846	0.87478	0.8895	0.6338
114827	FHAD1	0.92709	0.36908	0.10053	0.63171	0.20757	0.50906	0.85669	0.3511	0.28012	0.90165	0.10339	0.49502
79180	EFHD2	0.86941	0.12255	0.09052	0.84875	0.63308	0.020083	0.21045	0.65267	0.15198	0.060252	0.56153	0.73365
11330	CTRC	0.64315	0.85063	0.41063	0.83299	0.98017	0.53981	0.04647	0.20457	0.038436	0.16076	0.6962	0.57265
63036	CELA2A	0.29788	0.79553	0.73069	0.85612	0.82712	0.2643	0.4378	0.18507	0.011134	0.39261	0.74447	0.45215
51032	CELA2B	0.63497	0.89519	0.39041	0.38919	0.95411	0.57599	0.83376	0.20133	0.75633	0.027997	0.88506	0.31495
842	CASP9	0.19401	0.79671	0.56856	0.34528	0.96081	0.47286	0.82031	0.29475	0.25996	0.074925	0.90866	0.20478
23341	DNAJC16	0.22864	0.86899	0.62307	0.51635	0.98232	0.4055	0.89825	0.1598	0.14031	0.13549	0.92797	0.18241
79814	AGMAT	0.23242	0.93814	0.67755	0.22086	0.96574	0.53282	0.74188	0.15786	0.1935	0.11426	0.71422	0.066098
84301	DDI2	0.73704	0.64129	0.29717	0.5125	0.98613	0.32396	0.63957	0.012698	0.03084	0.39023	0.59325	0.32577
6248	RSC1A1	0.87861	0.68828	0.18701	0.51251	0.98616	0.28204	0.84617	0.011085	0.018691	0.26277	0.92258	0.29371
23207	PLEKHM2	0.74982	0.90491	0.30006	0.7096	0.89118	0.47927	0.75737	0.055938	0.032947	0.7189	0.84576	0.19092
284723	SLC25A34	0.44597	0.31159	0.078204	0.25437	0.5567	0.75842	0.744	0.048234	0.6136	0.60774	0.76902	0.34906
388595	TMEM82	0.75082	0.32179	0.56317	0.69977	0.88352	0.80269	0.40142	0.3652	0.50268	0.57671	0.671	0.2173
54751	FBLIM1	0.85143	0.33515	0.78568	0.56861	0.75458	0.39383	0.85773	0.15243	0.60669	0.72886	0.15926	0.35718
440567	UQCRHL	0.40045	0.57081	0.71574	0.72745	0.66353	0.11521	0.26037	0.20961	0.75915	0.86958	0.53524	0.991
23013	SPEN	0.099667	0.21424	0.4256	0.96121	0.18633	0.032035	0.34016	0.29588	0.75618	0.074701	0.72785	0.98075
7709	ZBTB17	0.18135	0.3238	0.53215	0.87082	0.12093	0.0027722	0.5774	0.10787	0.71204	0.015268	0.87743	0.97618
101928566	TBC1D3P6	0.19405	0.085306	0.30413	0.90611	0.45712	0.0068419	0.75969	0.15707	0.24004	0.055803	0.71432	0.98113
149563	C1orf64	0.3583	0.16327	0.72582	0.9177	0.5103	0.01282	0.81556	0.38143	0.22196	0.2337	0.35016	0.89617
27129	HSPB7	0.33752	0.38655	0.61642	0.98076	0.70422	0.0019443	0.74196	0.16296	0.037228	0.0018157	0.92625	0.91246
1187	CLCNKA	0.1886	0.52975	0.70197	0.97456	0.45878	0.0018768	0.3187	0.25221	0.20312	0.013818	0.50231	0.80587
1188	CLCNKB	0.57855	0.69206	0.50247	0.94486	0.33816	0.011906	0.64723	0.88531	0.41334	0.23676	0.56629	0.26524
348487	FAM131C	0.30469	0.85891	0.53392	0.99128	0.30758	0.0051413	0.93662	0.81344	0.048612	0.62017	0.13568	0.6804
