Dataset	Gene
SCZ_2020	NRIP1
SCZ_2020	EMX1
SCZ_2020	SFXN5
SCZ_2020	PSMA4
SCZ_2020	FAM114A2
SCZ_2020	FAM83D
SCZ_2020	MAPK3
SCZ_2020	FTSJ2
SCZ_2020	ZCCHC7
SCZ_2020	FOXN2
SCZ_2020	ASPHD1
SCZ_2020	LSM1
SCZ_2020	MLXIP
SCZ_2020	HYI
SCZ_2020	ALG12
SCZ_2020	FAM216A
SCZ_2020	PCDHA8
SCZ_2020	RP11-10L12.4
SCZ_2020	DNAH10OS
SCZ_2020	RP11-490G2.2
SCZ_2020	ENSG00000262319
SCZ_2020	RP11-380L11.4
SCZ_2020	RP11-53O19.3
AN_2019	SEMA3F
AN_2019	RBM5
AN_2019	RBM6
AN_2019	ZMYND10
AN_2019	CACNA2D2
AN_2019	CELSR3
AN_2019	UQCRC1
AN_2019	SEMA3B
AN_2019	MAP4
AN_2019	RHOA
AN_2019	HYAL2
AN_2019	RASSF1
AN_2019	IP6K2
AN_2019	DOCK3
AN_2019	C3orf18
AN_2019	PFKFB4
AN_2019	COL7A1
AN_2019	PRKAR2A
AN_2019	USP4
AN_2019	GNAT1
AN_2019	GNAI2
AN_2019	HYAL1
AN_2019	TUSC2
AN_2019	NPRL2
AN_2019	CYB561D2
AN_2019	CSPG5
AN_2019	SCAP
AN_2019	HEMK1
AN_2019	CISH
AN_2019	MAPKAPK3
AN_2019	TMEM115
AN_2019	DHX30
AN_2019	AMT
AN_2019	TCTA
AN_2019	NICN1
AN_2019	UCN2
AN_2019	VPRBP
AN_2019	MANF
AN_2019	ELP6
AN_2019	CDC25A
AN_2019	CAMP
AN_2019	ZNF589
AN_2019	FBXW12
AN_2019	PLXNB1
AN_2019	CCDC51
AN_2019	ATRIP
AN_2019	SHISA5
AN_2019	BSN
AN_2019	APEH
AN_2019	RNF123
AN_2019	CAMKV
AN_2019	MON1A
AN_2019	MST1R
AN_2019	LAMB2
AN_2019	USP19
AN_2019	QARS
AN_2019	NME6
AN_2019	DAG1
AN_2019	CCDC36
AN_2019	SMARCC1
AN_2019	MST1
AN_2019	GMPPB
AN_2019	AMIGO3
AN_2019	IP6K1
AN_2019	CCDC71
AN_2019	ARIH2
AN_2019	IMPDH2
AN_2019	NDUFAF3
AN_2019	DALRD3
AN_2019	WDR6
AN_2019	P4HTM
AN_2019	SLC25A20
AN_2019	LSMEM2
AN_2019	UBA7
AN_2019	TMEM89
AN_2019	TRAIP
AN_2019	FAM212A
AN_2019	KLHDC8B
AN_2019	HYAL3
AN_2019	CDHR4
AN_2019	C3orf62
AN_2019	SLC38A3
AN_2019	QRICH1
AN_2019	NCKIPSD
AN_2019	TREX1
AN_2019	IFRD2
AN_2019	ARIH2OS
AN_2019	SLC26A6
AN_2019	SPINK8
AN_2019	TMA7
AN_2019	GPX1
AN_2019	C3orf84
AN_2019	NAT6
AN_2019	RBM15B
AN_2019	XXcos-LUCA11.5
AN_2019	RP11-949J7.8
AN_2019	CADM1
AN_2019	PSME4
AN_2019	ERLEC1
AN_2019	ASB3
AN_2019	GPR75
AN_2019	CHAC2
AN_2019	ACYP2
AN_2019	GPR75-ASB3
AN_2019	MGMT
AN_2019	FOXP1
AN_2019	PTBP2
BD_2019	AC003102.1
BD_2019	ACOT12
BD_2019	ADAMTSL3
BD_2019	ADAMTSL4
BD_2019	ADAMTSL4-AS1
BD_2019	ADCK2
BD_2019	ADCY2
BD_2019	ADD3
BD_2019	AL356356.1
BD_2019	ALAS1
BD_2019	ALPK3
BD_2019	ANK3
BD_2019	ANKRD23
BD_2019	ANKRD39
BD_2019	ANP32E
BD_2019	AP003733.1
BD_2019	APH1A
BD_2019	ASB16
BD_2019	ATP13A1
BD_2019	ATXN7L3
BD_2019	B3GNT1
BD_2019	BANF1
BD_2019	BAP1
BD_2019	BBS1
BD_2019	BEST1
BD_2019	BRAF
BD_2019	BRMS1
BD_2019	C11orf68
BD_2019	C11orf80
BD_2019	C11orf86
BD_2019	C17orf53
BD_2019	C1orf51
BD_2019	C1orf54
BD_2019	CA14
BD_2019	CACNA1C
BD_2019	CAPN3
BD_2019	CATSPER1
BD_2019	CCDC87
BD_2019	CCS
BD_2019	CD248
BD_2019	CD47
BD_2019	CDAN1
BD_2019	CILP2
BD_2019	CNIH2
BD_2019	CNNM3
BD_2019	CNNM4
BD_2019	CSRNP3
BD_2019	CST6
BD_2019	CTSF
BD_2019	DAGLA
BD_2019	DCLK3
BD_2019	DENND2A
BD_2019	DNAH1
BD_2019	DPP3
BD_2019	DRAP1
BD_2019	ECM1
BD_2019	EIF1AD
BD_2019	EPM2AIP1
BD_2019	FADS1
BD_2019	FADS2
BD_2019	FADS3
BD_2019	FAM178B
BD_2019	FEN1
BD_2019	FSTL5
BD_2019	FTH1
BD_2019	G6PC3
BD_2019	GAL3ST3
BD_2019	GANC
BD_2019	GATAD2A
BD_2019	GLT8D1
BD_2019	GLYCTK
BD_2019	GMIP
BD_2019	GNL3
BD_2019	GOLGA4
BD_2019	GOLGA6L4
BD_2019	GRIN2A
BD_2019	HAPLN4
BD_2019	HAUS2
BD_2019	HDAC5
BD_2019	HHLA2
BD_2019	IFT57
BD_2019	ITIH1
BD_2019	ITIH3
BD_2019	ITIH4
BD_2019	KANSL3
BD_2019	KCNS1
BD_2019	KLC2
BD_2019	KMT2E
BD_2019	LHFPL3
BD_2019	LMAN2L
BD_2019	LPAR2
BD_2019	LRFN4
BD_2019	LRRC57
BD_2019	LRRFIP2
BD_2019	LSM12
BD_2019	MAU2
BD_2019	MCL1
BD_2019	MEF2B
BD_2019	MEF2BNB
BD_2019	MEF2BNB-MEF2B
BD_2019	MLH1
BD_2019	MRPL11
BD_2019	MRPS21
BD_2019	MRPS33
BD_2019	MTMR11
BD_2019	MUSTN1
BD_2019	MXI1
BD_2019	MYRF
BD_2019	NAGS
BD_2019	NCAN
BD_2019	NDUFA13
BD_2019	NDUFB2
BD_2019	NEK4
BD_2019	NISCH
BD_2019	NMB
BD_2019	NPAS4
BD_2019	NR2C2AP
BD_2019	NT5DC2
BD_2019	OTUD7B
BD_2019	PABPC1L
BD_2019	PACS1
BD_2019	PBRM1
BD_2019	PBX4
BD_2019	PC
BD_2019	PDE8A
BD_2019	PELI3
BD_2019	PHF7
BD_2019	PI3
BD_2019	PLA2G4D
BD_2019	PLA2G4F
BD_2019	PLEKHO1
BD_2019	POC1A
BD_2019	PPM1M
BD_2019	PRKCD
BD_2019	PRPF3
BD_2019	PUS7
BD_2019	PYY
BD_2019	RAB1B
BD_2019	RAB3IL1
BD_2019	RBM14
BD_2019	RBM14-RBM4
BD_2019	RBM4
BD_2019	RBM4B
BD_2019	RCE1
BD_2019	RFT1
BD_2019	RFXANK
BD_2019	RIMS1
BD_2019	RIN1
BD_2019	RPRD2
BD_2019	RPS6KA2
BD_2019	RUNDC3A
BD_2019	SART1
BD_2019	SCN2A
BD_2019	SCN3A
BD_2019	SEC11A
BD_2019	SEMA3G
BD_2019	SEMA4C
BD_2019	SEMG1
BD_2019	SEMG2
BD_2019	SF3B2
BD_2019	SF3B4
BD_2019	SFMBT1
BD_2019	SHANK2
BD_2019	SLC25A39
BD_2019	SLC28A1
BD_2019	SLC29A2
BD_2019	SLC4A1
BD_2019	SMIM4
BD_2019	SMNDC1
BD_2019	SNAP23
BD_2019	SPCS1
BD_2019	SPTBN2
BD_2019	SRPK2
BD_2019	SSBP2
BD_2019	STAB1
BD_2019	STARD9
BD_2019	STK4
BD_2019	SUGP1
BD_2019	TARS2
BD_2019	THSD7A
BD_2019	TLR9
BD_2019	TM6SF2
BD_2019	TMEM101
BD_2019	TMEM110
BD_2019	TMEM110-MUSTN1
BD_2019	TMEM151A
BD_2019	TMEM161A
BD_2019	TMEM178B
BD_2019	TMEM258
BD_2019	TMEM87A
BD_2019	TMUB2
BD_2019	TNNC1
BD_2019	TOMM34
BD_2019	TRANK1
BD_2019	TSSK6
BD_2019	TTBK2
BD_2019	TWF2
BD_2019	UBR1
BD_2019	UBTF
BD_2019	VPS39
BD_2019	VPS45
BD_2019	WDR73
BD_2019	WDR82
BD_2019	WFDC12
BD_2019	WFDC5
BD_2019	XPNPEP1
BD_2019	YIF1A
BD_2019	YJEFN3
BD_2019	YWHAB
BD_2019	Z98049.1
BD_2019	ZCCHC2
BD_2019	ZDHHC24
BD_2019	ZNF101
BD_2019	ZNF106
BD_2019	ZNF14
BD_2019	ZNF506
BD_2019	ZNF592
BD_2019	ZSCAN2
NEUROT_2018	AATK
NEUROT_2018	ABHD16A
NEUROT_2018	ACO2
NEUROT_2018	ACP2
NEUROT_2018	ACSS2
NEUROT_2018	ACVR2A
NEUROT_2018	AGBL1
NEUROT_2018	AGBL2
NEUROT_2018	AGER
NEUROT_2018	AGPAT1
NEUROT_2018	ANKK1
NEUROT_2018	APOM
NEUROT_2018	AREL1
NEUROT_2018	ARHGAP27
NEUROT_2018	ARL17A
NEUROT_2018	ARL17B
NEUROT_2018	ARNTL
NEUROT_2018	ARPP21
NEUROT_2018	ASCC3
NEUROT_2018	ATF6B
NEUROT_2018	BAG6
NEUROT_2018	BAIAP2
NEUROT_2018	BBX
NEUROT_2018	BCKDK
NEUROT_2018	BCL7C
NEUROT_2018	BLK
NEUROT_2018	BTBD18
NEUROT_2018	C11orf31
NEUROT_2018	C12orf49
NEUROT_2018	C1QTNF4
NEUROT_2018	C2
NEUROT_2018	C22orf46
NEUROT_2018	C4A
NEUROT_2018	C4B
NEUROT_2018	C6orf25
NEUROT_2018	C6orf47
NEUROT_2018	C6orf48
NEUROT_2018	C8orf74
NEUROT_2018	CACNA1E
NEUROT_2018	CELF1
NEUROT_2018	CELF4
NEUROT_2018	CENPW
NEUROT_2018	CFB
NEUROT_2018	CHADL
NEUROT_2018	CLDN23
NEUROT_2018	CLIC1
NEUROT_2018	CLP1
NEUROT_2018	CLUH
NEUROT_2018	CRHR1
NEUROT_2018	CSDC2
NEUROT_2018	CSNK1G1
NEUROT_2018	CSNK2B
NEUROT_2018	CTF1
NEUROT_2018	CTNND1
NEUROT_2018	CTSB
NEUROT_2018	CTTNBP2
NEUROT_2018	CYP21A2
NEUROT_2018	DCAF5
NEUROT_2018	DDAH2
NEUROT_2018	DDB2
NEUROT_2018	DEFB130
NEUROT_2018	DEFB134
NEUROT_2018	DEFB135
NEUROT_2018	DEFB136
NEUROT_2018	DESI1
NEUROT_2018	DLST
NEUROT_2018	DPY19L3
NEUROT_2018	DRD2
NEUROT_2018	DXO
NEUROT_2018	DYNLRB1
NEUROT_2018	EGFL8
NEUROT_2018	EHMT2
NEUROT_2018	ELAVL2
NEUROT_2018	EMX2
NEUROT_2018	ENTPD3
NEUROT_2018	EP300
NEUROT_2018	ERI1
NEUROT_2018	EXD2
NEUROT_2018	FAM120A
NEUROT_2018	FAM120AOS
NEUROT_2018	FAM167A
NEUROT_2018	FAM172A
NEUROT_2018	FAM180B
NEUROT_2018	FAM86B1
NEUROT_2018	FANCL
NEUROT_2018	FARP1
NEUROT_2018	FBXL17
NEUROT_2018	FBXL19
NEUROT_2018	FBXO31
NEUROT_2018	FCF1
NEUROT_2018	FDFT1
NEUROT_2018	FKBPL
NEUROT_2018	FNBP4
NEUROT_2018	FOXP2
NEUROT_2018	GABBR1
NEUROT_2018	GALNT16
NEUROT_2018	GATA4
NEUROT_2018	GGT7
NEUROT_2018	GLIS3
NEUROT_2018	GNL1
NEUROT_2018	GPANK1
NEUROT_2018	GPSM3
NEUROT_2018	GRM3
NEUROT_2018	GRM5
NEUROT_2018	GRM8
NEUROT_2018	GSS
NEUROT_2018	GTF2IRD1
NEUROT_2018	HLA-A
NEUROT_2018	HLA-E
NEUROT_2018	HLA-F
NEUROT_2018	HLA-G
NEUROT_2018	HSD3B7
NEUROT_2018	HSPA1A
NEUROT_2018	HSPA1B
NEUROT_2018	HSPA1L
NEUROT_2018	IL20RB
NEUROT_2018	ITCH
NEUROT_2018	KANSL1
NEUROT_2018	KAT8
NEUROT_2018	KBTBD4
NEUROT_2018	KCTD10
NEUROT_2018	KIAA0101
NEUROT_2018	KIAA0825
NEUROT_2018	L3MBTL2
NEUROT_2018	LINGO2
NEUROT_2018	LOC100133267
NEUROT_2018	LOC100506562
NEUROT_2018	LOC554223
NEUROT_2018	LRRC37A
NEUROT_2018	LRRC37A2
NEUROT_2018	LSM2
NEUROT_2018	LTBP2
NEUROT_2018	LY6G5B
NEUROT_2018	LY6G5C
NEUROT_2018	LY6G6C
NEUROT_2018	LY6G6D
NEUROT_2018	LY6G6F
NEUROT_2018	MAD1L1
NEUROT_2018	MADD
NEUROT_2018	MAP1LC3A
NEUROT_2018	MAP1LC3B
NEUROT_2018	MAPT
NEUROT_2018	MAS1L
NEUROT_2018	MBD5
NEUROT_2018	MED19
NEUROT_2018	MEF2C
NEUROT_2018	MEI1
NEUROT_2018	MFHAS1
NEUROT_2018	MMAB
NEUROT_2018	MOG
NEUROT_2018	MSH5
NEUROT_2018	MSL2
NEUROT_2018	MSRA
NEUROT_2018	MTCH2
NEUROT_2018	MTMR9
NEUROT_2018	MVK
NEUROT_2018	MYBPC3
NEUROT_2018	MYH7B
NEUROT_2018	MYO1H
NEUROT_2018	NCAM1
NEUROT_2018	NCK1
NEUROT_2018	NCOA6
NEUROT_2018	NDUFS3
NEUROT_2018	NEIL2
NEUROT_2018	NELFE
NEUROT_2018	NEU1
NEUROT_2018	NHP2L1
NEUROT_2018	NOS1
NEUROT_2018	NOTCH4
NEUROT_2018	NOX4
NEUROT_2018	NR1H3
NEUROT_2018	NSF
NEUROT_2018	NUP160
NEUROT_2018	OAZ2
NEUROT_2018	OR10C1
NEUROT_2018	OR11A1
NEUROT_2018	OR12D2
NEUROT_2018	OR12D3
NEUROT_2018	OR14J1
NEUROT_2018	OR2H1
NEUROT_2018	OR2H2
NEUROT_2018	OR2J2
NEUROT_2018	OR2J3
NEUROT_2018	OR5V1
NEUROT_2018	ORAI3
NEUROT_2018	ORC4
NEUROT_2018	PAFAH1B1
NEUROT_2018	PAX6
NEUROT_2018	PBX2
NEUROT_2018	PCCB
NEUROT_2018	PCDH9
NEUROT_2018	PHF2
NEUROT_2018	PHF5A
NEUROT_2018	PIGU
NEUROT_2018	PINX1
NEUROT_2018	PLCL2
NEUROT_2018	PLEKHM1
NEUROT_2018	PMM1
NEUROT_2018	POLR3H
NEUROT_2018	POU5F2
NEUROT_2018	PPP1R3B
NEUROT_2018	PPP2R3A
NEUROT_2018	PPP5C
NEUROT_2018	PPT2
NEUROT_2018	PRKCA
NEUROT_2018	PROX2
NEUROT_2018	PRR3
NEUROT_2018	PRRC2A
NEUROT_2018	PRRT1
NEUROT_2018	PRSS36
NEUROT_2018	PRSS53
NEUROT_2018	PRSS55
NEUROT_2018	PRSS8
NEUROT_2018	PSMC3
NEUROT_2018	PTCH1
NEUROT_2018	PTPMT1
NEUROT_2018	RANGAP1
NEUROT_2018	RAPSN
NEUROT_2018	RBFOX1
NEUROT_2018	RBPMS2
NEUROT_2018	RBX1
NEUROT_2018	RGS6
NEUROT_2018	RNF5
NEUROT_2018	RP1L1
NEUROT_2018	RPL14
NEUROT_2018	RPP21
NEUROT_2018	RPS6KL1
NEUROT_2018	RSRC1
NEUROT_2018	SAPCD1
NEUROT_2018	SEMA6D
NEUROT_2018	SERPING1
NEUROT_2018	SETD1A
NEUROT_2018	SGCZ
NEUROT_2018	SGK223
NEUROT_2018	SHOX2
NEUROT_2018	SIM1
NEUROT_2018	SIPA1L1
NEUROT_2018	SKIV2L
NEUROT_2018	SLC35G2
NEUROT_2018	SLC35G5
NEUROT_2018	SLC39A13
NEUROT_2018	SLC44A4
NEUROT_2018	SOX6
NEUROT_2018	SOX7
NEUROT_2018	SPI1
NEUROT_2018	SPPL2C
NEUROT_2018	STAG1
NEUROT_2018	STH
NEUROT_2018	STK19
NEUROT_2018	STK24
NEUROT_2018	STX1B
NEUROT_2018	STX4
NEUROT_2018	SUDS3
NEUROT_2018	TAOK3
NEUROT_2018	TCF4
NEUROT_2018	TEF
NEUROT_2018	TLR4
NEUROT_2018	TMEM106B
NEUROT_2018	TMX2
NEUROT_2018	TNKS
NEUROT_2018	TNXB
NEUROT_2018	TOB2
NEUROT_2018	TP53INP2
NEUROT_2018	TRIM10
NEUROT_2018	TRIM15
NEUROT_2018	TRIM26
NEUROT_2018	TRIM31
NEUROT_2018	TRIM39
NEUROT_2018	TRIM39-RPP21
NEUROT_2018	TRIM40
NEUROT_2018	TRIP4
NEUROT_2018	TTC12
NEUROT_2018	TYR
NEUROT_2018	UBD
NEUROT_2018	UBE3B
NEUROT_2018	USP17L2
NEUROT_2018	USP17L7
NEUROT_2018	VARS
NEUROT_2018	VKORC1
NEUROT_2018	VRK2
NEUROT_2018	VWA7
NEUROT_2018	VWC2L
NEUROT_2018	WNT3
NEUROT_2018	XKR6
NEUROT_2018	XRCC6
NEUROT_2018	YLPM1
NEUROT_2018	YPEL4
NEUROT_2018	ZBTB12
NEUROT_2018	ZC3H7B
NEUROT_2018	ZCCHC14
NEUROT_2018	ZDHHC5
NEUROT_2018	ZFP57
NEUROT_2018	ZNF507
NEUROT_2018	ZNF609
NEUROT_2018	ZNF619
NEUROT_2018	ZNF620
NEUROT_2018	ZNF621
NEUROT_2018	ZNF646
NEUROT_2018	ZNF668
NEUROT_2018	ZNF804A
IQ_2018	CDC42
IQ_2018	WNT4
IQ_2018	SERINC2
IQ_2018	HCRTR1
IQ_2018	PEF1
IQ_2018	COL16A1
IQ_2018	CTPS1
IQ_2018	SCMH1
IQ_2018	FOXO6
IQ_2018	TIE1
IQ_2018	MED8
IQ_2018	SZT2
IQ_2018	HYI
IQ_2018	PTPRF
IQ_2018	KDM4A
IQ_2018	ST3GAL3
IQ_2018	ARTN
IQ_2018	IPO13
IQ_2018	DPH2
IQ_2018	ATP6V0B
IQ_2018	B4GALT2
IQ_2018	CCDC24
IQ_2018	SLC6A9
IQ_2018	ERI3
IQ_2018	NEGR1
IQ_2018	TTLL7
IQ_2018	DPYD
IQ_2018	COL11A1
IQ_2018	KIAA1324
IQ_2018	SARS
IQ_2018	CELSR2
IQ_2018	PSRC1
IQ_2018	MYBPHL
IQ_2018	SORT1
IQ_2018	PSMA5
IQ_2018	SYPL2
IQ_2018	ATXN7L2
IQ_2018	CYB561D1
IQ_2018	AMIGO1
IQ_2018	GSTM4
IQ_2018	GSTM3
IQ_2018	S100A13
IQ_2018	S100A1
IQ_2018	INTS3
IQ_2018	SLC27A3
IQ_2018	GATAD2B
IQ_2018	DENND4B
IQ_2018	CRTC2
IQ_2018	SLC39A1
IQ_2018	CREB3L4
IQ_2018	JTB
IQ_2018	RAB13
IQ_2018	NUP210L
IQ_2018	TPM3
IQ_2018	C1orf43
IQ_2018	HAX1
IQ_2018	ATP8B2
IQ_2018	MYOC
IQ_2018	VAMP4
IQ_2018	METTL13
IQ_2018	DNM3
IQ_2018	CACNA1E
IQ_2018	NAV1
IQ_2018	IPO9
IQ_2018	SHISA4
IQ_2018	LMOD1
IQ_2018	ESRRG
IQ_2018	KLHL29
IQ_2018	ATAD2B
IQ_2018	UBXN2A
IQ_2018	MFSD2B
IQ_2018	FKBP1B
IQ_2018	FAM228B
IQ_2018	TP53I3
IQ_2018	PFN4
IQ_2018	FAM228A
IQ_2018	LRPPRC
IQ_2018	SIX3
IQ_2018	NRXN1
IQ_2018	BCL11A
IQ_2018	OTX1
IQ_2018	WDPCP
IQ_2018	MDH1
IQ_2018	UGP2
IQ_2018	VPS54
IQ_2018	PELI1
IQ_2018	NAGK
IQ_2018	MCEE
IQ_2018	PAIP2B
IQ_2018	ZNF638
IQ_2018	DYSF
IQ_2018	FBXO41
IQ_2018	EGR4
IQ_2018	ALMS1
IQ_2018	NAT8
IQ_2018	TPRKB
IQ_2018	STAMBP
IQ_2018	MOB1A
IQ_2018	AFF3
IQ_2018	LONRF2
IQ_2018	CHST10
IQ_2018	THSD7B
IQ_2018	ARHGAP15
IQ_2018	KCNJ3
IQ_2018	NR4A2
IQ_2018	GPD2
IQ_2018	RBMS1
IQ_2018	TANK
IQ_2018	SLC4A10
IQ_2018	DPP4
