"","CellType","annotLevel","p","fold_change","sd_from_mean","q","hit.cells","geneSizeControl","list"
"18","InN_LHX6_MAF",2,0.00135,1.49539349663564,3.93204177039167,0.0466666666666667,0.473613376938678,FALSE,"ASD HC65"
"19","ExN_CUX2_PALMD",2,0.0017,1.49389973538076,4.19931982881734,0.0466666666666667,0.532280304585422,FALSE,"ASD HC65"
"20","InN_LHX6_SST_RELN",2,0.00245,1.56091658364228,3.99378540747045,0.0466666666666667,0.579272617507073,FALSE,"ASD HC65"
"21","InN_LHX6_CCK",2,0.0025,1.4522058578432,3.74933618810851,0.0466666666666667,0.562051021597074,FALSE,"ASD HC65"
"22","ExN_SOX5_OPRK1_SULF1",2,0.003,1.9609908220188,4.0657028251435,0.048,1.18376542540912,FALSE,"ASD HC65"
"23","ExN_SOX5_ID2",2,0.0035,1.41289086053981,3.28657774672912,0.049,0.493789777662525,FALSE,"ASD HC65"
"24","ExN_CUX2_ADRA2A",2,0.0053,1.45376226863676,3.38820574438823,0.0574,0.608110522378055,FALSE,"ASD HC65"
"25","ExN_SOX5_PALMD",2,0.00565,1.40954229396096,3.27140917758171,0.0574,0.424408178069869,FALSE,"ASD HC65"
"26","InN_SP8_PAX6",2,0.0061,1.43499937343042,3.28387361729943,0.0574,0.475302093548723,FALSE,"ASD HC65"
"27","InN_SP8_CRH",2,0.00615,1.56193818199417,3.69746388540962,0.0574,0.660538305491389,FALSE,"ASD HC65"
"28","ExN_SOX5_SYT6",2,0.00695,1.45833145366887,3.11552466853098,0.0598769230769231,0.557381114858884,FALSE,"ASD HC65"
"29","ExN_CUX2_ACTN2",2,0.008,1.48122104877949,3.14110107107857,0.0616,0.683186351707747,FALSE,"ASD HC65"
"30","InN_LHX6_DCN",2,0.00825,1.48174123143169,3.38536762460727,0.0616,0.540799712610936,FALSE,"ASD HC65"
"31","InN_SIX3_ZFHX3",2,0.0094,1.50101548053064,3.65840488530506,0.0658,0.462509272480753,FALSE,"ASD HC65"
"32","InN_ZIC1_ZIC2",2,0.01025,1.46836769125002,2.89647893867979,0.0675294117647059,0.521835302641168,FALSE,"ASD HC65"
"33","InN_NKX2_1_CCND2",2,0.01135,1.39090770216538,2.78724698490201,0.0706222222222222,0.422636264880348,FALSE,"ASD HC65"
"34","InN_FOXP2_TSHZ1",2,0.0139,1.40231658354374,3.00628290430334,0.0819368421052632,0.533064774828745,FALSE,"ASD HC65"
"35","InN_NR2F2_VIP",2,0.017,1.54737380448639,2.95017195565441,0.0898434782608696,0.826940950637041,FALSE,"ASD HC65"
"36","InN_FOXP1_PENK",2,0.0174,1.89522538980074,3.61332529246856,0.0898434782608696,0.860810250422725,FALSE,"ASD HC65"
"37","InN_SP8_MEIS2_RND3",2,0.0183,1.28525408156183,2.50711922548239,0.0898434782608696,0.391851054338541,FALSE,"ASD HC65"
"38","InN_NR2F2_LAMP5",2,0.01845,1.41525863214015,2.58448256756969,0.0898434782608696,0.652615536205982,FALSE,"ASD HC65"
"39","InN_NR2F2_SP8_KIT",2,0.021,1.44892203853341,2.47808360725459,0.098,0.766386467468777,FALSE,"ASD HC65"
"40","ExN_SOX5_NR4A2_GRID2",2,0.0232,1.45631431554943,2.52668207445769,0.103936,0.603635893327211,FALSE,"ASD HC65"
"41","ExN_TSHZ2_NR4A3",2,0.02445,1.48934036494523,2.35053290330444,0.104948148148148,0.862843861897445,FALSE,"ASD HC65"
"42","InN_SP8_VIP",2,0.0253,1.47620899755648,2.58651297553144,0.104948148148148,0.74795160098453,FALSE,"ASD HC65"
"43","InN_FOXP1_ISL1",2,0.02625,1.47985855098478,2.45574697394114,0.105,0.518060427208218,FALSE,"ASD HC65"
"44","IPC_EOMES_NHLH1_up",2,0.02835,1.31609463943692,2.3364485227111,0.109489655172414,0.430778481583252,FALSE,"ASD HC65"
"45","InN_LHX6_SST_NPY",2,0.04,1.43830917309813,1.91242766026376,0.149333333333333,0.708438385323868,FALSE,"ASD HC65"
"46","InN_LHX6_CRABP1",2,0.045,1.33186796410116,1.50879800072105,0.16258064516129,0.557782067931649,FALSE,"ASD HC65"
"47","IPC_EOMES_NHLH1_deep",2,0.04735,1.26233923756666,1.88171758570157,0.164266666666667,0.364696668948547,FALSE,"ASD HC65"
"48","InN_LHX8_ZIC1",2,0.0484,1.23352416663871,0.817608390405756,0.164266666666667,0.407162761373735,FALSE,"ASD HC65"
"49","ExN_SOX5_OPRK1_NR4A2",2,0.0586,1.46097024597321,1.67863724113716,0.193035294117647,0.796456601584484,FALSE,"ASD HC65"
"50","CR_ETV1",2,0.1011,1.18401962376021,0.875506156702312,0.3136,0.496227813034938,FALSE,"ASD HC65"
"51","oIPC_DLL1",2,0.10205,1.1714690161771,1.1462019258932,0.3136,0.468168587365476,FALSE,"ASD HC65"
"52","GE_CR_ZFHX3",2,0.1036,1.15356629491225,1.11542877197499,0.3136,0.426323686067446,FALSE,"ASD HC65"
"53","CR_TP73",2,0.1102,1.24952543987739,1.08743936577644,0.3248,0.536383425490501,FALSE,"ASD HC65"
"54","ExN_SOX5_KCNV1",2,0.1187,1.16567348644142,1.18385169108416,0.340882051282051,0.49980596742637,FALSE,"ASD HC65"
"55","InN_LHX6_GUCY1A2",2,0.135,1.21461102256955,0.964327851527893,0.378,0.767120986629234,FALSE,"ASD HC65"
"56","gIPC_EGFR",2,0.14095,1.13275725581871,0.949145330399007,0.385034146341463,0.497194815206999,FALSE,"ASD HC65"
"57","IPC_RSPO3_NHLH1",2,0.14525,1.18830132396364,0.884619146832623,0.387333333333333,0.534342815964856,FALSE,"ASD HC65"
"58","InN_HMX1",2,0.21975,1.07038607427137,0.297499175486256,0.5684,0.348110257287862,FALSE,"ASD HC65"
"59","OPC_PDGFRA",2,0.2233,1.1069143435919,0.603335912093488,0.5684,0.552021494381267,FALSE,"ASD HC65"
"60","inIPC_DLX1_NR2F2",2,0.23435,1.07337403069708,0.650008321571974,0.583271111111111,0.487597768495135,FALSE,"ASD HC65"
"61","OPC_PCDH15_COL9A1",2,0.2417,1.13953067822032,0.535540870279512,0.588486956521739,0.659254362032109,FALSE,"ASD HC65"
"62","aIPC_IGFBP2",2,0.24775,1.08668445830936,0.565079226241792,0.590382978723404,0.520051141211643,FALSE,"ASD HC65"
"63","Neu_TAGLN3_NRN1",2,0.26705,1.05058895627233,0.221624409014527,0.623116666666667,0.34765271807514,FALSE,"ASD HC65"
"64","InN_GNRH1",2,0.28315,1.02645449764997,0.0990693044716561,0.6472,0.383941875024485,FALSE,"ASD HC65"
"65","InN_SFRP2_MEIS2",2,0.3015,1.0479060115991,0.327898429013772,0.67536,0.318489185032819,FALSE,"ASD HC65"
"66","Oligo_MBP_PLP1",2,0.3319,1.03393632989544,0.0946562282166912,0.728878431372549,0.645540371476947,FALSE,"ASD HC65"
"67","Astro_EGFR",2,0.40385,1.0162318422568,0.0847835771230469,0.869830769230769,0.486394749231063,FALSE,"ASD HC65"
"68","Neu_TAGLN3_ONECUT2",2,0.44755,0.989735427830214,-0.0621639738214641,0.945766037735849,0.418879969959698,FALSE,"ASD HC65"
"69","Astro_MFGE8",2,0.4696,0.989438626480114,-0.0557717306480979,0.973985185185185,0.527455008584068,FALSE,"ASD HC65"
"70","RB_HBA1_SNCA",2,0.58,0.856004029021945,-0.413570698341904,1,0.312442987289944,FALSE,"ASD HC65"
"71","Astro_GFAP",2,0.645,0.910955496355139,-0.472592830123623,1,0.481085796910408,FALSE,"ASD HC65"
"72","VLMC_PTGDS_DSP",2,0.6517,0.796208400864797,-0.553049134676772,1,0.499668969552904,FALSE,"ASD HC65"
"73","inIPC_ASCL1_DLX1",2,0.67805,0.935066422494864,-0.492734449162193,1,0.271879113141834,FALSE,"ASD HC65"
"74","RB_HBA1_HBE1",2,0.71595,0.707286286102323,-0.541024779026544,1,0.230353298861391,FALSE,"ASD HC65"
"75","inIPC_ASCL1_GSX1",2,0.7358,0.896097241404517,-0.568408786297021,1,0.257044941866539,FALSE,"ASD HC65"
"76","inIPC_ASCL1_NKX2_1",2,0.7828,0.8966631186501,-0.797637374477283,1,0.33378442397335,FALSE,"ASD HC65"
"77","OPC_PDGFRA_MKI67",2,0.78805,0.881081109166518,-0.805888800576848,1,0.481367582807639,FALSE,"ASD HC65"
"78","inIPC_ASCL1_SP8",2,0.8075,0.898048253400515,-0.872712952520965,1,0.315357903762584,FALSE,"ASD HC65"
"79","GE_RG_HOPX_NRG1",2,0.8102,0.822695380266518,-0.84175395778703,1,0.384800806242541,FALSE,"ASD HC65"
"80","GE_RG_STMN2_SOX5",2,0.83585,0.869054364823194,-0.952377779254282,1,0.442679228350599,FALSE,"ASD HC65"
"81","oRG_HOPX_APOE",2,0.88265,0.814190008768445,-1.0484420018097,1,0.377937443337922,FALSE,"ASD HC65"
"82","gIPC_EGFR_MKI67",2,0.9146,0.850419094180339,-1.28067121317882,1,0.404068877652513,FALSE,"ASD HC65"
"83","Cls_LHX9_EBF1",2,0.91535,0.728663913403294,-1.25956390558186,1,0.263495156936787,FALSE,"ASD HC65"
"84","inIPC_ASCL1_SFRP2",2,0.9293,0.816805436400828,-1.22979577815538,1,0.22150785472841,FALSE,"ASD HC65"
"85","IPC_EOMES_NEUROG1",2,0.9346,0.838648551260402,-1.36149657775766,1,0.296375326346771,FALSE,"ASD HC65"
"86","IPC_RSPO3_NEUROG1",2,0.93705,0.688241851928323,-0.842587728568982,1,0.310552764488723,FALSE,"ASD HC65"
"87","GE_RG_CRYAB",2,0.93845,0.783105294910085,-1.40338710450769,1,0.422503402022312,FALSE,"ASD HC65"
"88","Endothelial_CLDN5_FLT1",2,0.94785,0.589646261958241,-1.2526017590176,1,0.355114631488708,FALSE,"ASD HC65"
"89","IPC_FGF17",2,0.9543,0.755387966422037,-1.28138848251989,1,0.255085819365051,FALSE,"ASD HC65"
"90","Pericyte_GRM8",2,0.96645,0.512539268343504,-1.32177383528778,1,0.357488654362026,FALSE,"ASD HC65"
"91","Endothelial_CLDN5_RGS5",2,0.9705,0.545395374573242,-1.46155604429055,1,0.363938703544597,FALSE,"ASD HC65"
"92","GE_Ependymal_FOXJ1",2,0.9738,0.730369136470164,-1.52176896277138,1,0.40941939886286,FALSE,"ASD HC65"
"93","Ependymal_FOXJ1",2,0.97815,0.570315682814242,-1.17704937425472,1,0.388373397156673,FALSE,"ASD HC65"
"94","T_PTPRC_CD69",2,0.97835,0.656329362453463,-1.39010339255415,1,0.225304014602749,FALSE,"ASD HC65"
"95","Mesenchymal_LUM_CYTL1",2,0.9784,0.625083191767826,-1.33393948461386,1,0.293417812444134,FALSE,"ASD HC65"
"96","tRG_CRYAB_FNDC1",2,0.9834,0.745793814328005,-1.58514653139835,1,0.390695868495908,FALSE,"ASD HC65"
"97","IPC_TCF7L2",2,0.9892,0.678380431057223,-1.96873441757126,1,0.240902622297452,FALSE,"ASD HC65"
"98","Microglia_PTPRC_C1QC",2,0.98965,0.518602388556632,-1.31161732021466,1,0.283060672732945,FALSE,"ASD HC65"
"99","PC_NKX2_1_NKX6_2",2,0.99275,0.725265515598106,-1.71920683342138,1,0.275280389150694,FALSE,"ASD HC65"
"100","Mesenchymal_FOXD3_PLP1",2,0.9942,0.624704080989171,-1.00133900431068,1,0.264274778929216,FALSE,"ASD HC65"
"101","IPC_EOMES_VIM",2,0.99745,0.738497958679048,-2.51200859899601,1,0.225621385620513,FALSE,"ASD HC65"
"102","tRG_CRYAB_MEST",2,0.9979,0.743402778770296,-2.34251840494405,1,0.308199658042251,FALSE,"ASD HC65"
"103","GE_RG_HMGA2_NKX6_2",2,0.99885,0.688473703787092,-2.81585726922458,1,0.237254242967372,FALSE,"ASD HC65"
"104","vRG_SAT1_STMN2",2,0.9989,0.701962811770338,-2.90989447215982,1,0.23508277779078,FALSE,"ASD HC65"
"105","SMC_ACTA2",2,0.99895,0.455496293025787,-1.66262194787312,1,0.2705169883115,FALSE,"ASD HC65"
"106","PC_NKX2_1_LMO1",2,0.9992,0.669888770691513,-2.70145784337019,1,0.250440161051463,FALSE,"ASD HC65"
"107","PC_NKX2_1_RAX",2,0.9993,0.638474888368749,-2.37969441628212,1,0.220673897207151,FALSE,"ASD HC65"
"108","inIPC_ASCL1_GADD45G",2,0.9993,0.648388146055247,-2.57915614078505,1,0.229886293136935,FALSE,"ASD HC65"
"109","RGC_FABP7_PMP22",2,0.9994,0.676048556027042,-2.58980926522144,1,0.256001480559369,FALSE,"ASD HC65"
"110","GE_RG_NKX2_1_OLIG1",2,0.99945,0.66567950162175,-2.96076169546911,1,0.234299643197982,FALSE,"ASD HC65"
"111","GE_RG_NKX2_1_DLK1",2,0.99945,0.664565274985603,-2.96858280228364,1,0.243207152644991,FALSE,"ASD HC65"
"112","PC_TCF7L2",2,0.9996,0.612393798059004,-2.16811225166767,1,0.221251747859632,FALSE,"ASD HC65"
"113","oRG_HOPX_TNC",2,0.9997,0.675020832627091,-2.93595997944851,1,0.253617895556255,FALSE,"ASD HC65"
"114","Cls_GSX2_B3GAT2",2,0.99975,0.667557097674853,-3.13662681563234,1,0.241089551797776,FALSE,"ASD HC65"
"115","PC_FGF17",2,0.99985,0.641305972182595,-2.23760194645535,1,0.241376733609549,FALSE,"ASD HC65"
"116","GE_RG_HOPX_STMN1",2,0.99985,0.652480207796911,-2.87389458263901,1,0.286844991547166,FALSE,"ASD HC65"
"117","NESC_RSPO3_TEX15",2,0.99985,0.620878433728869,-2.88102159960657,1,0.22558917352927,FALSE,"ASD HC65"
"118","vRG_HMGA2_CCND1",2,0.99985,0.635060393810607,-3.07221007544988,1,0.233903795577269,FALSE,"ASD HC65"
"119","PC_SFRP1",2,0.99985,0.629220738616869,-3.26643172029316,1,0.240124781017836,FALSE,"ASD HC65"
"120","PC_RSPO3",2,0.9999,0.613534722003152,-2.08905579874668,1,0.222891590612342,FALSE,"ASD HC65"
"121","Cls_FGF17_LGI1",2,0.99995,0.593091106657741,-2.2640485661106,1,0.23548876761054,FALSE,"ASD HC65"
"122","NESC_RSPO3_DIRAS3",2,0.99995,0.607999658270021,-2.79511404335797,1,0.212785101489844,FALSE,"ASD HC65"
"123","PC_TTR",2,1,0.458867469630762,-1.86982016414554,1,0.190336813837296,FALSE,"ASD HC65"
"124","Cls_RSPO3_SOX1",2,1,0.516983156118314,-3.03545634112856,1,0.19562265567708,FALSE,"ASD HC65"
"125","PC_SFRP2",2,1,0.571784872853622,-3.2815480126223,1,0.198167719752729,FALSE,"ASD HC65"
"126","GE_RG_HMGA2_NR2F2",2,1,0.671529175040762,-3.36725986024122,1,0.249611965389847,FALSE,"ASD HC65"
"127","inIPC_ASCL1_GPX1",2,1,0.591000267700987,-3.55543254796631,1,0.209048293869746,FALSE,"ASD HC65"
"128","Excitatory_neurons",1,0,1.94024777958794,9.66896569555441,0,10.2520613052731,FALSE,"DD"
"129","Inhibitory_neurons",1,0,1.58348480153208,5.85470213399833,0,7.83579638006345,FALSE,"DD"
"130","enIPC",1,0.00345,1.25222316710592,3.35500724130775,0.01725,5.22723271372534,FALSE,"DD"
"131","CR",1,0.26085,1.0618541885563,0.568443173714685,0.9781875,5.76399403388685,FALSE,"DD"
"132","inIPC",1,0.43915,1.00834468235508,0.10045058250813,1,4.55304757971491,FALSE,"DD"
"133","OPC&Oligo",1,0.5138,0.987408984348743,-0.120344524810819,1,6.21344097982853,FALSE,"DD"
"134","gIPC",1,0.7326,0.957194220182032,-0.646198870119269,1,5.13822724912927,FALSE,"DD"
"135","Immune",1,0.87745,0.835218092905062,-1.12204678305661,1,4.50845829642987,FALSE,"DD"
"136","RB&Vas",1,0.8991,0.829051696828104,-1.20901753484972,1,5.27412983356605,FALSE,"DD"
"137","Astro",1,0.9007,0.868238155930362,-1.2351444296129,1,5.29824859002615,FALSE,"DD"
"138","PAT_related_subtypes",1,0.999,0.807692650178198,-2.71679464020393,1,3.81040403557243,FALSE,"DD"
"139","dorsal_NSC",1,0.99965,0.792948964355514,-3.09494585549064,1,3.66527448991245,FALSE,"DD"
"140","GE_NSC",1,0.99985,0.78047190653557,-3.15147487382474,1,4.01455094266439,FALSE,"DD"
"141","Mes",1,0.99995,0.624524575886771,-2.73031747668153,1,3.15904503488665,FALSE,"DD"
"142","Patterning_centers",1,1,0.716690731179239,-3.4266094201176,1,3.28608845384148,FALSE,"DD"
"143","ExN_CUX2_ACTN2",2,0,2.10548109063099,9.26317174578718,0,1.61614058227264,FALSE,"DD"
"144","ExN_CUX2_ADRA2A",2,0,1.94080773512427,9.06048629745783,0,1.34895115594031,FALSE,"DD"
"145","ExN_CUX2_PALMD",2,0,1.71869821736392,7.93413117046799,0,1.01689734977638,FALSE,"DD"
"146","InN_NR2F2_SP8",2,0,1.52774659620411,6.48262044081103,0,0.854779534140999,FALSE,"DD"
"147","ExN_SOX5_ID2",2,0,1.59893607262798,6.17334297530581,0,0.928222344510861,FALSE,"DD"
"148","InN_LHX6_CCK",2,0,1.54784244755036,5.90419777506401,0,0.99461801284431,FALSE,"DD"
"149","ExN_SOX5_OPRK1_SULF1",2,0,2.00098038610712,5.52084773959049,0,2.01070369395386,FALSE,"DD"
"150","InN_NR2F2_CRH",2,0,1.56881268876641,5.37667089060586,0,1.04578819225297,FALSE,"DD"
"151","ExN_TSHZ2_NR4A3",2,5e-05,1.98374028795929,6.19336750477439,0.000622222222222222,1.9114928094818,FALSE,"DD"
"152","ExN_SOX5_PALMD",2,1e-04,1.53395088207104,5.55369652025367,0.00101818181818182,0.766798305172722,FALSE,"DD"
"153","InN_LHX6_MAF",2,1e-04,1.48724849477505,5.02028775840563,0.00101818181818182,0.782317333691753,FALSE,"DD"
"154","InN_LHX6_DCN",2,0.00015,1.58584667560918,5.31190890693497,0.00129230769230769,0.962649880137091,FALSE,"DD"
"155","InN_SP8_PAX6",2,0.00015,1.53115587631259,5.21037033034195,0.00129230769230769,0.840753663567964,FALSE,"DD"
"156","InN_LHX6_SST_RELN",2,0.00025,1.56642134201133,5.14670142826943,0.002,0.967052286358709,FALSE,"DD"
"157","ExN_SOX5_SYT6",2,0.00045,1.51635600598259,4.51136505496578,0.00336,0.964053806929827,FALSE,"DD"
"158","InN_SP8_MEIS2_RND3",2,6e-04,1.36115652146611,4.13774490070653,0.0042,0.688231367086395,FALSE,"DD"
"159","ExN_SOX5_KCNV1",2,0.00075,1.41021856923193,3.77970114562616,0.00494117647058824,1.00494125398946,FALSE,"DD"
"160","InN_SP8_CRH",2,0.0013,1.53897090860346,4.61180188465655,0.0079578947368421,1.08011899044499,FALSE,"DD"
"161","InN_NR2F2_LAMP5",2,0.00135,1.52789496659686,4.25813276320785,0.0079578947368421,1.17156570439431,FALSE,"DD"
"162","IPC_EOMES_NHLH1_up",2,0.00225,1.45461638405196,4.28288543229057,0.0126,0.791447349351386,FALSE,"DD"
"163","InN_NKX2_1_CCND2",2,0.0025,1.37035242451812,3.43204689269939,0.0133333333333333,0.69065529613068,FALSE,"DD"
"164","InN_SP8_VIP",2,0.00455,1.49854530088911,3.51910961473898,0.0231636363636364,1.2607873915852,FALSE,"DD"
"165","InN_FOXP2_TSHZ1",2,0.00595,1.36867700485855,3.50110671800935,0.0289739130434783,0.864072419731084,FALSE,"DD"
"166","InN_NR2F2_VIP",2,0.00665,1.49052182550046,3.43146077412349,0.0310333333333333,1.32407079277085,FALSE,"DD"
"167","ExN_SOX5_OPRK1_NR4A2",2,0.008,1.81559725678803,3.87343572664448,0.0344296296296296,1.64602668671969,FALSE,"DD"
"168","InN_ZIC1_ZIC2",2,0.0083,1.50502167126819,4.02162824812543,0.0344296296296296,0.887975337911229,FALSE,"DD"
"169","inIPC_DLX1_NR2F2",2,0.0083,1.24203236289129,2.78507783330055,0.0344296296296296,0.935428223934792,FALSE,"DD"
"170","InN_NR2F2_SP8_KIT",2,0.00895,1.47599298824933,3.48046384085062,0.0358,1.29433347580157,FALSE,"DD"
"171","InN_SIX3_ZFHX3",2,0.0106,1.35688732549964,3.3591292713681,0.0409379310344828,0.693694200577889,FALSE,"DD"
"172","ExN_SOX5_NR4A2_GRID2",2,0.0211,1.33474161038549,2.41527849124364,0.0769548387096774,0.920266185264695,FALSE,"DD"
"173","InN_FOXP1_PENK",2,0.0213,1.61429315931902,3.1630251096845,0.0769548387096774,1.21865425667747,FALSE,"DD"
"174","IPC_EOMES_NHLH1_deep",2,0.02235,1.26500623272739,2.45598877451085,0.078225,0.606945480867852,FALSE,"DD"
"175","InN_LHX6_CRABP1",2,0.03635,1.35142744329893,2.10002939035012,0.1232,0.938312585654551,FALSE,"DD"
"176","InN_LHX6_GUCY1A2",2,0.0374,1.37000496170353,2.12494852096943,0.1232,1.44165818439924,FALSE,"DD"
"177","InN_LHX6_SST_NPY",2,0.03945,1.38703535582741,2.15071227666481,0.1246,1.13629939325783,FALSE,"DD"
"178","InN_FOXP1_ISL1",2,0.04005,1.31354271344379,2.089123285014,0.1246,0.763678819093439,FALSE,"DD"
"179","InN_LHX8_ZIC1",2,0.08445,1.12709893492811,0.585501759448823,0.255632432432432,0.616463418731956,FALSE,"DD"
"180","GE_CR_ZFHX3",2,0.1696,1.08652465849235,0.793866468732007,0.499873684210526,0.667442171841531,FALSE,"DD"
"181","InN_HMX1",2,0.19035,1.06558078671572,0.346873594204861,0.546646153846154,0.576766471577597,FALSE,"DD"
"182","InN_GNRH1",2,0.2404,1.03284113928119,0.154384841658362,0.67312,0.644059892282009,FALSE,"DD"
"183","RB_HBA1_SNCA",2,0.29775,1.04268451318605,0.161542572713373,0.813365853658537,0.62962558424857,FALSE,"DD"
"184","InN_SFRP2_MEIS2",2,0.33615,1.02895677534888,0.252747731599207,0.8964,0.519450752174248,FALSE,"DD"
"185","CR_ETV1",2,0.35095,1.01467598585333,0.0899601690315987,0.914102325581395,0.706163725493009,FALSE,"DD"
"186","inIPC_ASCL1_NKX2_1",2,0.40475,1.01687687710501,0.169177870409229,1,0.627243216102626,FALSE,"DD"
"187","inIPC_ASCL1_SP8",2,0.4266,1.01199011164571,0.133862208413156,1,0.588809565106865,FALSE,"DD"
"188","CR_TP73",2,0.45315,0.972514190042,-0.151208405096423,1,0.693755655155122,FALSE,"DD"
"189","Neu_TAGLN3_NRN1",2,0.4711,0.97503523682056,-0.133162294971542,1,0.537154366516131,FALSE,"DD"
"190","IPC_EOMES_NEUROG1",2,0.56055,0.98095303559584,-0.209569083080578,1,0.574962251068571,FALSE,"DD"
"191","Neu_TAGLN3_ONECUT2",2,0.58685,0.958465072762203,-0.324668032664977,1,0.674238382939574,FALSE,"DD"
"192","IPC_RSPO3_NHLH1",2,0.63845,0.919037145555108,-0.487190061091123,1,0.686916302517282,FALSE,"DD"
"193","oIPC_DLL1",2,0.7064,0.934647679943104,-0.574532666413727,1,0.619025979115724,FALSE,"DD"
"194","inIPC_ASCL1_GSX1",2,0.73035,0.917363496421346,-0.582728662303757,1,0.436859650269058,FALSE,"DD"
"195","OPC_PDGFRA",2,0.79465,0.888973718829015,-0.810749746446764,1,0.735590020498163,FALSE,"DD"
"196","inIPC_ASCL1_DLX1",2,0.8233,0.907871946960152,-0.900187358701061,1,0.438480398285641,FALSE,"DD"
"197","Oligo_MBP_PLP1",2,0.8584,0.740576232498029,-0.927089172521957,1,0.768906981320554,FALSE,"DD"
"198","T_PTPRC_CD69",2,0.9054,0.790216181249854,-1.10922871264163,1,0.448515076691566,FALSE,"DD"
"199","GE_RG_STMN2_SOX5",2,0.91405,0.863377844629594,-1.27356423274615,1,0.729440793282066,FALSE,"DD"
"200","IPC_EOMES_VIM",2,0.93675,0.8830519298244,-1.46288564118785,1,0.447638802379614,FALSE,"DD"
"201","OPC_PCDH15_COL9A1",2,0.94685,0.743656251808563,-1.26818543702651,1,0.713938109076123,FALSE,"DD"
"202","IPC_FGF17",2,0.94915,0.804216234231206,-1.30797096832826,1,0.45179024066267,FALSE,"DD"
"203","VLMC_PTGDS_DSP",2,0.9517,0.646088604014633,-1.25340201566537,1,0.67130435469092,FALSE,"DD"
"204","aIPC_IGFBP2",2,0.9689,0.810123668636368,-1.59830547054052,1,0.643697445906275,FALSE,"DD"
"205","gIPC_EGFR",2,0.96995,0.834236642027973,-1.54060832201137,1,0.607494110235391,FALSE,"DD"
"206","inIPC_ASCL1_SFRP2",2,0.9709,0.817055196924901,-1.56627186621792,1,0.367797632383123,FALSE,"DD"
"207","OPC_PDGFRA_MKI67",2,0.9737,0.807169488493852,-1.68423007153044,1,0.730545734787392,FALSE,"DD"
"208","Pericyte_GRM8",2,0.9757,0.567113053615122,-1.5148513686433,1,0.653458557183788,FALSE,"DD"
"209","Astro_EGFR",2,0.97965,0.754505533823101,-1.67084927708665,1,0.598862918856656,FALSE,"DD"
"210","Microglia_PTPRC_C1QC",2,0.98075,0.610276687069707,-1.3732088618752,1,0.553536936206994,FALSE,"DD"
"211","Astro_MFGE8",2,0.98095,0.744543008860579,-1.74101364650109,1,0.659930709882624,FALSE,"DD"
"212","Endothelial_CLDN5_FLT1",2,0.98405,0.593296666323127,-1.61388132700888,1,0.592993853615917,FALSE,"DD"
"213","Ependymal_FOXJ1",2,0.9901,0.595766108876229,-1.41929143774314,1,0.673410374368587,FALSE,"DD"
"214","tRG_CRYAB_FNDC1",2,0.99015,0.777478748129161,-1.77969546405314,1,0.675629075144439,FALSE,"DD"
"215","Endothelial_CLDN5_RGS5",2,0.9903,0.559642723324345,-1.85004347728135,1,0.618627919854469,FALSE,"DD"
"216","Astro_GFAP",2,0.99205,0.727474794211391,-1.87542404537264,1,0.637417111839243,FALSE,"DD"
"217","GE_RG_CRYAB",2,0.9939,0.745764300908855,-2.10501055277189,1,0.668237207058489,FALSE,"DD"
